19:15:05.804 [main] INFO  com.tools.OracleJDBC - 
test start !!
19:15:05.810 [main] INFO  com.tools.OracleJDBC - begin time : 2023-11-27 19:15:05.809871
19:15:05.810 [main] INFO  com.tools.OracleJDBC - ------------------------------
19:15:07.122 [pool-2-thread-1] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.121841
19:15:07.122 [pool-2-thread-4] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.121834
19:15:07.136 [pool-2-thread-7] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.136120
19:15:07.140 [pool-2-thread-2] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.140345
19:15:07.153 [pool-2-thread-1] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.153617
19:15:07.153 [pool-2-thread-7] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.153643
19:15:07.153 [pool-2-thread-4] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.153648
19:15:07.155 [pool-2-thread-2] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.155481
19:15:07.225 [pool-2-thread-5] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.225067
19:15:07.232 [pool-2-thread-5] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.232916
19:15:07.307 [pool-2-thread-8] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.307606
19:15:07.315 [pool-2-thread-8] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.315137
19:15:07.348 [pool-2-thread-10] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.347982
19:15:07.355 [pool-2-thread-10] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.355094
19:15:07.362 [pool-2-thread-9] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.362527
19:15:07.377 [pool-2-thread-9] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.377685
19:15:07.408 [pool-2-thread-6] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.408276
19:15:07.416 [pool-2-thread-6] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.416824
19:15:07.482 [pool-2-thread-3] INFO  com.tools.OracleJDBC - Execute time -- 2023-11-27 19:15:07.482023
19:15:07.489 [pool-2-thread-3] INFO  com.tools.OracleJDBC - Finish task !! 2023-11-27 19:15:07.489820
